2022-03-12 23:37:46,107 DEBUG:asyncio: Using selector: EpollSelector
2022-03-12 23:42:49,776 INFO:easy: J:horse,T:6 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:49,964 INFO:easy: J:horse,T:6 :: got response 200 from https://thishorsedoesnotexist.com/
2022-03-12 23:42:49,964 INFO:easy: J:horse,T:6 :: started downloading object
2022-03-12 23:42:50,121 INFO:easy: J:horse,T:0 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:50,150 INFO:easy: J:horse,T:6 :: found unique object, start wrinting to i
2022-03-12 23:42:50,151 INFO:easy: J:horse,T:6 :: finished writing object in artifacts/horses/horse-6.png
2022-03-12 23:42:50,204 INFO:easy: J:horse,T:1 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:50,304 INFO:easy: J:horse,T:2 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:50,346 INFO:easy: J:horse,T:0 :: got response 200 from https://thishorsedoesnotexist.com/
2022-03-12 23:42:50,346 INFO:easy: J:horse,T:0 :: started downloading object
2022-03-12 23:42:50,425 INFO:easy: J:horse,T:1 :: got response 200 from https://thishorsedoesnotexist.com/
2022-03-12 23:42:50,425 INFO:easy: J:horse,T:1 :: started downloading object
2022-03-12 23:42:50,489 INFO:easy: J:horse,T:5 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:50,552 INFO:easy: J:horse,T:2 :: got response 200 from https://thishorsedoesnotexist.com/
2022-03-12 23:42:50,552 INFO:easy: J:horse,T:2 :: started downloading object
2022-03-12 23:42:50,686 INFO:easy: J:horse,T:4 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:50,713 INFO:easy: J:horse,T:1 :: found unique object, start wrinting to i
2022-03-12 23:42:50,717 INFO:easy: J:horse,T:1 :: finished writing object in artifacts/horses/horse-1.png
2022-03-12 23:42:50,784 INFO:easy: J:horse,T:5 :: got response 200 from https://thishorsedoesnotexist.com/
2022-03-12 23:42:50,784 INFO:easy: J:horse,T:5 :: started downloading object
2022-03-12 23:42:50,969 INFO:easy: J:horse,T:4 :: got response 200 from https://thishorsedoesnotexist.com/
2022-03-12 23:42:50,969 INFO:easy: J:horse,T:4 :: started downloading object
2022-03-12 23:42:51,005 INFO:easy: J:cat,T:2 :: sending request to https://thiscatdoesnotexist.com/
2022-03-12 23:42:51,191 INFO:easy: J:cat,T:2 :: got response 200 from https://thiscatdoesnotexist.com/
2022-03-12 23:42:51,191 INFO:easy: J:cat,T:2 :: started downloading object
2022-03-12 23:42:51,512 INFO:easy: J:human,T:1 :: sending request to https://thispersondoesnotexist.com/
2022-03-12 23:42:51,618 INFO:easy: J:human,T:1 :: got response 200 from https://thispersondoesnotexist.com/
2022-03-12 23:42:51,619 INFO:easy: J:human,T:1 :: started downloading object
2022-03-12 23:42:51,650 INFO:easy: J:cat,T:0 :: sending request to https://thiscatdoesnotexist.com/
2022-03-12 23:42:51,852 INFO:easy: J:cat,T:0 :: got response 200 from https://thiscatdoesnotexist.com/
2022-03-12 23:42:51,852 INFO:easy: J:cat,T:0 :: started downloading object
2022-03-12 23:42:52,092 INFO:easy: J:cat,T:2 :: found unique object, start wrinting to i
2022-03-12 23:42:52,093 INFO:easy: J:cat,T:2 :: finished writing object in artifacts/cats/cat-2.png
2022-03-12 23:42:52,823 INFO:easy: J:horse,T:0 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:52,938 INFO:easy: J:horse,T:2 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:53,037 INFO:easy: J:horse,T:0 :: got response 200 from https://thishorsedoesnotexist.com/
2022-03-12 23:42:53,037 INFO:easy: J:horse,T:0 :: started downloading object
2022-03-12 23:42:53,153 INFO:easy: J:horse,T:2 :: got response 200 from https://thishorsedoesnotexist.com/
2022-03-12 23:42:53,153 INFO:easy: J:horse,T:2 :: started downloading object
2022-03-12 23:42:53,158 INFO:easy: J:horse,T:5 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:53,248 INFO:easy: J:horse,T:0 :: found unique object, start wrinting to i
2022-03-12 23:42:53,248 INFO:easy: J:horse,T:0 :: finished writing object in artifacts/horses/horse-0.png
2022-03-12 23:42:53,325 INFO:easy: J:horse,T:4 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:53,460 INFO:easy: J:horse,T:5 :: got response 200 from https://thishorsedoesnotexist.com/
2022-03-12 23:42:53,460 INFO:easy: J:horse,T:5 :: started downloading object
2022-03-12 23:42:53,507 INFO:easy: J:horse,T:4 :: got response 200 from https://thishorsedoesnotexist.com/
2022-03-12 23:42:53,507 INFO:easy: J:horse,T:4 :: started downloading object
2022-03-12 23:42:53,627 INFO:easy: J:human,T:1 :: sending request to https://thispersondoesnotexist.com/
